run_id,algorithm,train_steps,eval_episodes,mean_reward,std_reward,mean_final_distance,std_final_distance,success_rate,success_count,train_time_sec,model_path
udxl65fa,SAC,300000,50,-79.84329615999998,29.1643734662101,0.09014689538627862,0.08902346489079548,0.0,0,7471.863683223724,models/udxl65fa_final.zip
kl7udhnx,SAC,300000,50,-65.52407704000001,34.18999808583446,0.12679970941040664,0.11522143339545587,0.02,1,14732.330626249313,models/kl7udhnx_final.zip
fgw661qv,SAC,300000,50,-67.90808909999998,23.754470731002115,0.050144959855824706,0.03274751051166676,0.0,0,7203.862600326538,models/fgw661qv_final.zip
gtxrc9yb,SAC,300000,50,-49.68893546,18.426438655008678,0.03006196742877364,0.019829750806367147,0.0,0,5217.595316648483,models/gtxrc9yb_final.zip
2vv3cgdq,SAC,300000,50,-52.08701612,17.376786213725914,0.03730189302936196,0.02846416963860385,0.02,1,9824.262739181519,models/2vv3cgdq_final.zip
gwi09j3k,SAC,300000,50,-79.62284045999999,36.392287914604125,0.06467276688665152,0.03409261372579404,0.0,0,7482.626176595688,models/gwi09j3k_final.zip
bl4x2pu5,SAC,300000,50,-88.26908616,39.893810749672596,0.0762412266805768,0.047208595001825886,0.0,0,8398.062269449234,models/bl4x2pu5_final.zip
5uck01aa,SAC,300000,50,-57.119606700000006,22.621657268114216,0.04903801514301449,0.027364141853530612,0.02,1,7115.164889335632,models/5uck01aa_final.zip
m96duaam,SAC,300000,50,-76.18656476,40.051386838088355,0.082785622990923,0.06531048767414063,0.02,1,6979.304268360138,models/m96duaam_final.zip
pby276wz,SAC,300000,50,-58.246218060000004,30.21002972317782,0.065929496337194,0.05931812086284038,0.0,0,14743.368319034576,models/pby276wz_final.zip
